"i","N","p_hat"
170,10,0.000669433659124381
171,4,0.000267773463649752
172,3,0.000200830097737314
173,3,0.000200830097737314
174,4,0.000267773463649752
175,3,0.000200830097737314
177,4,0.000267773463649752
178,3,0.000200830097737314
179,8,0.000535546927299505
180,4,0.000267773463649752
181,4,0.000267773463649752
182,8,0.000535546927299505
183,6,0.000401660195474628
184,3,0.000200830097737314
185,4,0.000267773463649752
186,4,0.000267773463649752
187,4,0.000267773463649752
188,6,0.000401660195474628
189,5,0.00033471682956219
190,7,0.000468603561387067
191,8,0.000535546927299505
192,1,6.69433659124381e-05
193,5,0.00033471682956219
194,7,0.000468603561387067
195,6,0.000401660195474628
196,3,0.000200830097737314
197,6,0.000401660195474628
198,6,0.000401660195474628
199,3,0.000200830097737314
200,7,0.000468603561387067
201,4,0.000267773463649752
202,4,0.000267773463649752
203,7,0.000468603561387067
204,1,6.69433659124381e-05
205,5,0.00033471682956219
206,5,0.00033471682956219
207,2,0.000133886731824876
208,5,0.00033471682956219
209,7,0.000468603561387067
210,2,0.000133886731824876
211,3,0.000200830097737314
212,6,0.000401660195474628
213,2,0.000133886731824876
214,7,0.000468603561387067
215,5,0.00033471682956219
217,5,0.00033471682956219
218,5,0.00033471682956219
219,7,0.000468603561387067
220,4,0.000267773463649752
221,5,0.00033471682956219
222,6,0.000401660195474628
223,3,0.000200830097737314
224,5,0.00033471682956219
225,3,0.000200830097737314
226,6,0.000401660195474628
227,1,6.69433659124381e-05
228,5,0.00033471682956219
229,4,0.000267773463649752
230,9,0.000602490293211943
231,2,0.000133886731824876
232,4,0.000267773463649752
233,8,0.000535546927299505
234,1,6.69433659124381e-05
235,3,0.000200830097737314
236,7,0.000468603561387067
237,4,0.000267773463649752
238,3,0.000200830097737314
239,3,0.000200830097737314
240,2,0.000133886731824876
241,2,0.000133886731824876
242,4,0.000267773463649752
243,5,0.00033471682956219
244,5,0.00033471682956219
245,4,0.000267773463649752
246,9,0.000602490293211943
247,7,0.000468603561387067
248,3,0.000200830097737314
249,2,0.000133886731824876
250,2,0.000133886731824876
251,1,6.69433659124381e-05
252,2,0.000133886731824876
254,9,0.000602490293211943
255,11,0.000736377025036819
256,8,0.000535546927299505
257,3,0.000200830097737314
258,5,0.00033471682956219
259,3,0.000200830097737314
260,8,0.000535546927299505
261,5,0.00033471682956219
262,4,0.000267773463649752
263,5,0.00033471682956219
264,8,0.000535546927299505
265,2,0.000133886731824876
266,8,0.000535546927299505
267,4,0.000267773463649752
268,4,0.000267773463649752
269,5,0.00033471682956219
270,6,0.000401660195474628
271,5,0.00033471682956219
272,8,0.000535546927299505
273,4,0.000267773463649752
274,3,0.000200830097737314
275,6,0.000401660195474628
276,4,0.000267773463649752
277,2,0.000133886731824876
278,8,0.000535546927299505
279,5,0.00033471682956219
280,4,0.000267773463649752
281,7,0.000468603561387067
282,5,0.00033471682956219
283,7,0.000468603561387067
284,5,0.00033471682956219
285,3,0.000200830097737314
286,6,0.000401660195474628
287,2,0.000133886731824876
288,4,0.000267773463649752
289,6,0.000401660195474628
290,4,0.000267773463649752
291,5,0.00033471682956219
292,4,0.000267773463649752
293,8,0.000535546927299505
294,8,0.000535546927299505
295,4,0.000267773463649752
296,6,0.000401660195474628
297,13,0.000870263756861695
298,8,0.000535546927299505
299,7,0.000468603561387067
300,3,0.000200830097737314
301,4,0.000267773463649752
302,4,0.000267773463649752
303,5,0.00033471682956219
304,4,0.000267773463649752
305,4,0.000267773463649752
